,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
316032,379,2018-07-05 15:46:37.7800,2018-07-05 15:52:57.6130,325,E 19 St & 3 Ave,40.73624527,-73.98473765,3263,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,25759,NYCHA Membership (Renewal),Subscriber,1953,2
1179041,914,2018-07-13 09:26:39.4180,2018-07-13 09:41:54.1890,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,307,Canal St & Rutgers St,40.71427487,-73.98990025,28437,Annual Membership,Subscriber,1988,1
718126,1387,2018-07-16 15:09:44.3440,2018-07-16 15:32:51.8250,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,27551,Day Pass,Customer,1994,1
1847931,1023,2018-07-24 18:37:36.5110,2018-07-24 18:54:39.9130,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,79,Franklin St & W Broadway,40.71911552,-74.00666661,30440,Annual Membership,Subscriber,1966,1
996593,1225,2018-07-19 19:41:21.1160,2018-07-19 20:01:46.9200,519,Pershing Square North,40.751872999999996,-73.97770600000001,251,Mott St & Prince St,40.72317958,-73.99480012,32826,Annual Membership,Subscriber,1991,1
1623222,1596,2018-07-15 10:24:14.0830,2018-07-15 10:50:50.6610,3408,Congress St & Clinton St,40.6881529,-73.99520919,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,32343,Annual Membership,Subscriber,1986,1
1172149,972,2018-07-30 19:08:12.4070,2018-07-30 19:24:25.0500,3077,Stagg St & Union Ave,40.70877084,-73.95095259,307,Canal St & Rutgers St,40.71427487,-73.98990025,27863,Annual Membership,Subscriber,1984,1
191205,902,2018-07-12 06:17:50.2900,2018-07-12 06:32:52.7580,280,E 10 St & 5 Ave,40.73331967,-73.99510132,3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,26430,Annual Membership,Subscriber,1985,1
1206773,350,2018-07-14 08:55:57.3640,2018-07-14 09:01:47.5350,3102,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,471,Grand St & Havemeyer St,40.71286844,-73.95698119,26772,Annual Membership,Subscriber,1990,1
1069303,641,2018-07-16 16:04:14.6710,2018-07-16 16:14:56.1740,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,17968,Join Citi Bike for $14.95/month,Subscriber,1976,2
1420141,342,2018-07-31 18:17:22.6110,2018-07-31 18:23:05.4840,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,14891,Citi Bike Annual Membership,Subscriber,1997,1
1106702,1395,2018-07-24 19:44:44.3760,2018-07-24 20:07:59.7340,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,334,W 20 St & 7 Ave,40.74238787,-73.99726235,21384,Annual Membership,Subscriber,1971,1
